
NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1882 SEO     	2024-08-22	21:30:02	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
7B 1882 SEQ    	2024-08-22	21:30:10	genap       	ScsPV5mFPAvXBkwGhHjOEg==        
B 1682 SEO     	2024-08-22	21:30:57	genap       	AKzAmxR6xGE3pblM6l+BkA==        
               	2024-08-22	21:31:00	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1505 ZF      	2024-08-22	21:31:41	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        
B 1505 ZFX     	2024-08-22	21:31:42	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
               	2024-08-22	21:31:44	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
E 1882 SEO     	2024-08-22	21:37:56	genap       	c/J5Y1SvtW9BTxox4Mpz4g==        
8 1882 SEO     	2024-08-22	21:37:59	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
E 1882 SEO     	2024-08-22	21:39:00	genap       	c/J5Y1SvtW9BTxox4Mpz4g==        
8 1882 SEO     	2024-08-22	21:39:02	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1609 PDM     	2024-08-22	21:56:36	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1609 PDN     	2024-08-22	21:56:36	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDM     	2024-08-22	21:56:37	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1669 PDM     	2024-08-22	21:56:37	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1669 PDM     	2024-08-22	21:56:38	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1505 ZFX     	2024-08-22	21:56:39	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:56:39	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 2526 KMB     	2024-08-22	21:56:40	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	21:56:40	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1095 LKU     	2024-08-22	21:56:41	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	21:56:42	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 2123 YJ      	2024-08-22	21:56:42	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:56:43	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:56:44	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
L 1373 LN      	2024-08-22	21:56:44	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
