Tanggal        	Waktu          	NoPlat    	Enkripsi                                          	Decode                                            	Waktu Dekripsi (ms) 
2024-08-22     	21:29:43       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.016               
2024-08-22     	21:29:44       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.016               
2024-08-22     	21:29:45       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.016               
2024-08-22     	21:29:46       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.019               
2024-08-22     	21:29:47       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.016               
2024-08-22     	21:29:48       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.016               
2024-08-22     	21:29:49       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.030               
2024-08-22     	21:29:50       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.037               
2024-08-22     	21:29:51       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.017               
2024-08-22     	21:29:52       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.016               
2024-08-22     	21:29:54       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.016               
2024-08-22     	21:29:55       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.016               
2024-08-22     	21:29:56       	1B 1882 SEO    	aJOZeVXPm3VDRF+4DJvtMw==                          	1B 1882 SEO                                       	0.016               
2024-08-22     	21:29:59       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.016               
